xpos;ypos;zone;size
3;2;entangling;1
15;2;entangling;1
27;2;entangling;1
39;2;entangling;1
51;2;entangling;1
63;2;entangling;1
75;2;entangling;1
87;2;entangling;1
99;2;entangling;1
111;2;entangling;1
123;2;entangling;1
135;2;entangling;1
147;2;entangling;1
159;2;entangling;1
171;2;entangling;1
183;2;entangling;1
195;2;entangling;1
207;2;entangling;1
219;2;entangling;1
231;2;entangling;1
3;12;entangling;1
15;12;entangling;1
27;12;entangling;1
39;12;entangling;1
51;12;entangling;1
63;12;entangling;1
75;12;entangling;1
87;12;entangling;1
99;12;entangling;1
111;12;entangling;1
123;12;entangling;1
135;12;entangling;1
147;12;entangling;1
159;12;entangling;1
171;12;entangling;1
183;12;entangling;1
195;12;entangling;1
207;12;entangling;1
219;12;entangling;1
231;12;entangling;1
3;22;entangling;1
15;22;entangling;1
27;22;entangling;1
39;22;entangling;1
51;22;entangling;1
63;22;entangling;1
75;22;entangling;1
87;22;entangling;1
99;22;entangling;1
111;22;entangling;1
123;22;entangling;1
135;22;entangling;1
147;22;entangling;1
159;22;entangling;1
171;22;entangling;1
183;22;entangling;1
195;22;entangling;1
207;22;entangling;1
219;22;entangling;1
231;22;entangling;1
3;32;entangling;1
15;32;entangling;1
27;32;entangling;1
39;32;entangling;1
51;32;entangling;1
63;32;entangling;1
75;32;entangling;1
87;32;entangling;1
99;32;entangling;1
111;32;entangling;1
123;32;entangling;1
135;32;entangling;1
147;32;entangling;1
159;32;entangling;1
171;32;entangling;1
183;32;entangling;1
195;32;entangling;1
207;32;entangling;1
219;32;entangling;1
231;32;entangling;1
0;57;storage;1
6;57;storage;1
12;57;storage;1
18;57;storage;1
24;57;storage;1
30;57;storage;1
36;57;storage;1
42;57;storage;1
48;57;storage;1
54;57;storage;1
60;57;storage;1
66;57;storage;1
72;57;storage;1
78;57;storage;1
84;57;storage;1
90;57;storage;1
96;57;storage;1
102;57;storage;1
108;57;storage;1
114;57;storage;1
120;57;storage;1
126;57;storage;1
132;57;storage;1
138;57;storage;1
144;57;storage;1
150;57;storage;1
156;57;storage;1
162;57;storage;1
168;57;storage;1
174;57;storage;1
180;57;storage;1
186;57;storage;1
192;57;storage;1
198;57;storage;1
204;57;storage;1
210;57;storage;1
216;57;storage;1
222;57;storage;1
228;57;storage;1
0;63;storage;1
6;63;storage;1
12;63;storage;1
18;63;storage;1
24;63;storage;1
30;63;storage;1
36;63;storage;1
42;63;storage;1
48;63;storage;1
54;63;storage;1
60;63;storage;1
66;63;storage;1
72;63;storage;1
78;63;storage;1
84;63;storage;1
90;63;storage;1
96;63;storage;1
102;63;storage;1
108;63;storage;1
114;63;storage;1
120;63;storage;1
126;63;storage;1
132;63;storage;1
138;63;storage;1
144;63;storage;1
150;63;storage;1
156;63;storage;1
162;63;storage;1
168;63;storage;1
174;63;storage;1
180;63;storage;1
186;63;storage;1
192;63;storage;1
198;63;storage;1
204;63;storage;1
210;63;storage;1
216;63;storage;1
222;63;storage;1
228;63;storage;1
0;69;storage;1
6;69;storage;1
12;69;storage;1
18;69;storage;1
24;69;storage;1
30;69;storage;1
36;69;storage;1
42;69;storage;1
48;69;storage;1
54;69;storage;1
60;69;storage;1
66;69;storage;1
72;69;storage;1
78;69;storage;1
84;69;storage;1
90;69;storage;1
96;69;storage;1
102;69;storage;1
108;69;storage;1
114;69;storage;1
120;69;storage;1
126;69;storage;1
132;69;storage;1
138;69;storage;1
144;69;storage;1
150;69;storage;1
156;69;storage;1
162;69;storage;1
168;69;storage;1
174;69;storage;1
180;69;storage;1
186;69;storage;1
192;69;storage;1
198;69;storage;1
204;69;storage;1
210;69;storage;1
216;69;storage;1
222;69;storage;1
228;69;storage;1
0;75;storage;1
6;75;storage;1
12;75;storage;1
18;75;storage;1
24;75;storage;1
30;75;storage;1
36;75;storage;1
42;75;storage;1
48;75;storage;1
54;75;storage;1
60;75;storage;1
66;75;storage;1
72;75;storage;1
78;75;storage;1
84;75;storage;1
90;75;storage;1
96;75;storage;1
102;75;storage;1
108;75;storage;1
114;75;storage;1
120;75;storage;1
126;75;storage;1
132;75;storage;1
138;75;storage;1
144;75;storage;1
150;75;storage;1
156;75;storage;1
162;75;storage;1
168;75;storage;1
174;75;storage;1
180;75;storage;1
186;75;storage;1
192;75;storage;1
198;75;storage;1
204;75;storage;1
210;75;storage;1
216;75;storage;1
222;75;storage;1
228;75;storage;1
0;81;storage;1
6;81;storage;1
12;81;storage;1
18;81;storage;1
24;81;storage;1
30;81;storage;1
36;81;storage;1
42;81;storage;1
48;81;storage;1
54;81;storage;1
60;81;storage;1
66;81;storage;1
72;81;storage;1
78;81;storage;1
84;81;storage;1
90;81;storage;1
96;81;storage;1
102;81;storage;1
108;81;storage;1
114;81;storage;1
120;81;storage;1
126;81;storage;1
132;81;storage;1
138;81;storage;1
144;81;storage;1
150;81;storage;1
156;81;storage;1
162;81;storage;1
168;81;storage;1
174;81;storage;1
180;81;storage;1
186;81;storage;1
192;81;storage;1
198;81;storage;1
204;81;storage;1
210;81;storage;1
216;81;storage;1
222;81;storage;1
228;81;storage;1
0;87;storage;1
6;87;storage;1
12;87;storage;1
18;87;storage;1
24;87;storage;1
30;87;storage;1
36;87;storage;1
42;87;storage;1
48;87;storage;1
54;87;storage;1
60;87;storage;1
66;87;storage;1
72;87;storage;1
78;87;storage;1
84;87;storage;1
90;87;storage;1
96;87;storage;1
102;87;storage;1
108;87;storage;1
114;87;storage;1
120;87;storage;1
126;87;storage;1
132;87;storage;1
138;87;storage;1
144;87;storage;1
150;87;storage;1
156;87;storage;1
162;87;storage;1
168;87;storage;1
174;87;storage;1
180;87;storage;1
186;87;storage;1
192;87;storage;1
198;87;storage;1
204;87;storage;1
210;87;storage;1
216;87;storage;1
222;87;storage;1
228;87;storage;1
0;93;storage;1
6;93;storage;1
12;93;storage;1
18;93;storage;1
24;93;storage;1
30;93;storage;1
36;93;storage;1
42;93;storage;1
48;93;storage;1
54;93;storage;1
60;93;storage;1
66;93;storage;1
72;93;storage;1
78;93;storage;1
84;93;storage;1
90;93;storage;1
96;93;storage;1
102;93;storage;1
108;93;storage;1
114;93;storage;1
120;93;storage;1
126;93;storage;1
132;93;storage;1
138;93;storage;1
144;93;storage;1
150;93;storage;1
156;93;storage;1
162;93;storage;1
168;93;storage;1
174;93;storage;1
180;93;storage;1
186;93;storage;1
192;93;storage;1
198;93;storage;1
204;93;storage;1
210;93;storage;1
216;93;storage;1
222;93;storage;1
228;93;storage;1
0;99;storage;1
6;99;storage;1
12;99;storage;1
18;99;storage;1
24;99;storage;1
30;99;storage;1
36;99;storage;1
42;99;storage;1
48;99;storage;1
54;99;storage;1
60;99;storage;1
66;99;storage;1
72;99;storage;1
78;99;storage;1
84;99;storage;1
90;99;storage;1
96;99;storage;1
102;99;storage;1
108;99;storage;1
114;99;storage;1
120;99;storage;1
126;99;storage;1
132;99;storage;1
138;99;storage;1
144;99;storage;1
150;99;storage;1
156;99;storage;1
162;99;storage;1
168;99;storage;1
174;99;storage;1
180;99;storage;1
186;99;storage;1
192;99;storage;1
198;99;storage;1
204;99;storage;1
210;99;storage;1
216;99;storage;1
222;99;storage;1
228;99;storage;1
0;105;storage;1
6;105;storage;1
12;105;storage;1
18;105;storage;1
24;105;storage;1
30;105;storage;1
36;105;storage;1
42;105;storage;1
48;105;storage;1
54;105;storage;1
60;105;storage;1
66;105;storage;1
72;105;storage;1
78;105;storage;1
84;105;storage;1
90;105;storage;1
96;105;storage;1
102;105;storage;1
108;105;storage;1
114;105;storage;1
120;105;storage;1
126;105;storage;1
132;105;storage;1
138;105;storage;1
144;105;storage;1
150;105;storage;1
156;105;storage;1
162;105;storage;1
168;105;storage;1
174;105;storage;1
180;105;storage;1
186;105;storage;1
192;105;storage;1
198;105;storage;1
204;105;storage;1
210;105;storage;1
216;105;storage;1
222;105;storage;1
228;105;storage;1
0;111;storage;1
6;111;storage;1
12;111;storage;1
18;111;storage;1
24;111;storage;1
30;111;storage;1
36;111;storage;1
42;111;storage;1
48;111;storage;1
54;111;storage;1
60;111;storage;1
66;111;storage;1
72;111;storage;1
78;111;storage;1
84;111;storage;1
90;111;storage;1
96;111;storage;1
102;111;storage;1
108;111;storage;1
114;111;storage;1
120;111;storage;1
126;111;storage;1
132;111;storage;1
138;111;storage;1
144;111;storage;1
150;111;storage;1
156;111;storage;1
162;111;storage;1
168;111;storage;1
174;111;storage;1
180;111;storage;1
186;111;storage;1
192;111;storage;1
198;111;storage;1
204;111;storage;1
210;111;storage;1
216;111;storage;1
222;111;storage;1
228;111;storage;1
0;117;storage;1
6;117;storage;1
12;117;storage;1
18;117;storage;1
24;117;storage;1
30;117;storage;1
36;117;storage;1
42;117;storage;1
48;117;storage;1
54;117;storage;1
60;117;storage;1
66;117;storage;1
72;117;storage;1
78;117;storage;1
84;117;storage;1
90;117;storage;1
96;117;storage;1
102;117;storage;1
108;117;storage;1
114;117;storage;1
120;117;storage;1
126;117;storage;1
132;117;storage;1
138;117;storage;1
144;117;storage;1
150;117;storage;1
156;117;storage;1
162;117;storage;1
168;117;storage;1
174;117;storage;1
180;117;storage;1
186;117;storage;1
192;117;storage;1
198;117;storage;1
204;117;storage;1
210;117;storage;1
216;117;storage;1
222;117;storage;1
228;117;storage;1
0;123;storage;1
6;123;storage;1
12;123;storage;1
18;123;storage;1
24;123;storage;1
30;123;storage;1
36;123;storage;1
42;123;storage;1
48;123;storage;1
54;123;storage;1
60;123;storage;1
66;123;storage;1
72;123;storage;1
78;123;storage;1
84;123;storage;1
90;123;storage;1
96;123;storage;1
102;123;storage;1
108;123;storage;1
114;123;storage;1
120;123;storage;1
126;123;storage;1
132;123;storage;1
138;123;storage;1
144;123;storage;1
150;123;storage;1
156;123;storage;1
162;123;storage;1
168;123;storage;1
174;123;storage;1
180;123;storage;1
186;123;storage;1
192;123;storage;1
198;123;storage;1
204;123;storage;1
210;123;storage;1
216;123;storage;1
222;123;storage;1
228;123;storage;1
0;129;storage;1
6;129;storage;1
12;129;storage;1
18;129;storage;1
24;129;storage;1
30;129;storage;1
36;129;storage;1
42;129;storage;1
48;129;storage;1
54;129;storage;1
60;129;storage;1
66;129;storage;1
72;129;storage;1
78;129;storage;1
84;129;storage;1
90;129;storage;1
96;129;storage;1
102;129;storage;1
108;129;storage;1
114;129;storage;1
120;129;storage;1
126;129;storage;1
132;129;storage;1
138;129;storage;1
144;129;storage;1
150;129;storage;1
156;129;storage;1
162;129;storage;1
168;129;storage;1
174;129;storage;1
180;129;storage;1
186;129;storage;1
192;129;storage;1
198;129;storage;1
204;129;storage;1
210;129;storage;1
216;129;storage;1
222;129;storage;1
228;129;storage;1
0;135;storage;1
6;135;storage;1
12;135;storage;1
18;135;storage;1
24;135;storage;1
30;135;storage;1
36;135;storage;1
42;135;storage;1
48;135;storage;1
54;135;storage;1
60;135;storage;1
66;135;storage;1
72;135;storage;1
78;135;storage;1
84;135;storage;1
90;135;storage;1
96;135;storage;1
102;135;storage;1
108;135;storage;1
114;135;storage;1
120;135;storage;1
126;135;storage;1
132;135;storage;1
138;135;storage;1
144;135;storage;1
150;135;storage;1
156;135;storage;1
162;135;storage;1
168;135;storage;1
174;135;storage;1
180;135;storage;1
186;135;storage;1
192;135;storage;1
198;135;storage;1
204;135;storage;1
210;135;storage;1
216;135;storage;1
222;135;storage;1
228;135;storage;1
0;141;storage;1
6;141;storage;1
12;141;storage;1
18;141;storage;1
24;141;storage;1
30;141;storage;1
36;141;storage;1
42;141;storage;1
48;141;storage;1
54;141;storage;1
60;141;storage;1
66;141;storage;1
72;141;storage;1
78;141;storage;1
84;141;storage;1
90;141;storage;1
96;141;storage;1
102;141;storage;1
108;141;storage;1
114;141;storage;1
120;141;storage;1
126;141;storage;1
132;141;storage;1
138;141;storage;1
144;141;storage;1
150;141;storage;1
156;141;storage;1
162;141;storage;1
168;141;storage;1
174;141;storage;1
180;141;storage;1
186;141;storage;1
192;141;storage;1
198;141;storage;1
204;141;storage;1
210;141;storage;1
216;141;storage;1
222;141;storage;1
228;141;storage;1
0;147;storage;1
6;147;storage;1
12;147;storage;1
18;147;storage;1
24;147;storage;1
30;147;storage;1
36;147;storage;1
42;147;storage;1
48;147;storage;1
54;147;storage;1
60;147;storage;1
66;147;storage;1
72;147;storage;1
78;147;storage;1
84;147;storage;1
90;147;storage;1
96;147;storage;1
102;147;storage;1
108;147;storage;1
114;147;storage;1
120;147;storage;1
126;147;storage;1
132;147;storage;1
138;147;storage;1
144;147;storage;1
150;147;storage;1
156;147;storage;1
162;147;storage;1
168;147;storage;1
174;147;storage;1
180;147;storage;1
186;147;storage;1
192;147;storage;1
198;147;storage;1
204;147;storage;1
210;147;storage;1
216;147;storage;1
222;147;storage;1
228;147;storage;1
0;177;readout;1
6;177;readout;1
12;177;readout;1
18;177;readout;1
24;177;readout;1
30;177;readout;1
36;177;readout;1
42;177;readout;1
48;177;readout;1
54;177;readout;1
60;177;readout;1
66;177;readout;1
72;177;readout;1
78;177;readout;1
84;177;readout;1
90;177;readout;1
96;177;readout;1
102;177;readout;1
108;177;readout;1
114;177;readout;1
120;177;readout;1
126;177;readout;1
132;177;readout;1
138;177;readout;1
144;177;readout;1
150;177;readout;1
156;177;readout;1
162;177;readout;1
168;177;readout;1
174;177;readout;1
180;177;readout;1
186;177;readout;1
192;177;readout;1
198;177;readout;1
204;177;readout;1
210;177;readout;1
216;177;readout;1
222;177;readout;1
228;177;readout;1
0;183;readout;1
6;183;readout;1
12;183;readout;1
18;183;readout;1
24;183;readout;1
30;183;readout;1
36;183;readout;1
42;183;readout;1
48;183;readout;1
54;183;readout;1
60;183;readout;1
66;183;readout;1
72;183;readout;1
78;183;readout;1
84;183;readout;1
90;183;readout;1
96;183;readout;1
102;183;readout;1
108;183;readout;1
114;183;readout;1
120;183;readout;1
126;183;readout;1
132;183;readout;1
138;183;readout;1
144;183;readout;1
150;183;readout;1
156;183;readout;1
162;183;readout;1
168;183;readout;1
174;183;readout;1
180;183;readout;1
186;183;readout;1
192;183;readout;1
198;183;readout;1
204;183;readout;1
210;183;readout;1
216;183;readout;1
222;183;readout;1
228;183;readout;1
0;189;readout;1
6;189;readout;1
12;189;readout;1
18;189;readout;1
24;189;readout;1
30;189;readout;1
36;189;readout;1
42;189;readout;1
48;189;readout;1
54;189;readout;1
60;189;readout;1
66;189;readout;1
72;189;readout;1
78;189;readout;1
84;189;readout;1
90;189;readout;1
96;189;readout;1
102;189;readout;1
108;189;readout;1
114;189;readout;1
120;189;readout;1
126;189;readout;1
132;189;readout;1
138;189;readout;1
144;189;readout;1
150;189;readout;1
156;189;readout;1
162;189;readout;1
168;189;readout;1
174;189;readout;1
180;189;readout;1
186;189;readout;1
192;189;readout;1
198;189;readout;1
204;189;readout;1
210;189;readout;1
216;189;readout;1
222;189;readout;1
228;189;readout;1
0;195;readout;1
6;195;readout;1
12;195;readout;1
18;195;readout;1
24;195;readout;1
30;195;readout;1
36;195;readout;1
42;195;readout;1
48;195;readout;1
54;195;readout;1
60;195;readout;1
66;195;readout;1
72;195;readout;1
78;195;readout;1
84;195;readout;1
90;195;readout;1
96;195;readout;1
102;195;readout;1
108;195;readout;1
114;195;readout;1
120;195;readout;1
126;195;readout;1
132;195;readout;1
138;195;readout;1
144;195;readout;1
150;195;readout;1
156;195;readout;1
162;195;readout;1
168;195;readout;1
174;195;readout;1
180;195;readout;1
186;195;readout;1
192;195;readout;1
198;195;readout;1
204;195;readout;1
210;195;readout;1
216;195;readout;1
222;195;readout;1
228;195;readout;1
